**********	ACC2	version	4.2:	ACC2_scenarios_past.inc	*******************************************************************																	
**********	Table	declarations	and	assignments	(past	mode)	==============================================================															
																						
TABLE	ANTSCN(T,FOE)	Historical	emissions	(both	energy	related	and	non-energy	related)	[TgS	for	SO2]										
*	Anthropogenic	CO2	emission	is	assigned	later.																
*	Data	source	for	CH4	and	N2O	after	1890:00:00														
*	EDGAR-HYDE	1,4	(http://www.mnp.nl/edgar/model/100_year_emissions/edgar-hyde-1.4/)																			
*	Data	source	for	NOx,	CO,	VOC,	and	SO2	after	1890:00:00												
*	EDGAR-HYDE	1,3	(http://www.mnp.nl/edgar/model/100_year_emissions/edgar-hyde-1.3/)																			
*	Note	that	the	livestock	N2O	emission	in	Africa	in	1950	was	corrected	by	smoothing	as	suggested	by	van	Aardenne.			
*	Data	prior	to	1890	are	extrapolated	by	using	various	assumptions.												
																						
	CH4	N2O	NOx	CO	VOC	SO2																
1920	0,017																					
1921	-0,016																					
1922	-0,037																					
1923	-0,041																					
1924	-0,044																					
1925	-0,036																					
1926	-0,02																					
1927	0,023																					
1928	-0,001																					
1929	-0,008																					
1930	0,005																					
1931	-0,017																					
1932	-0,032																					
1933	-0,032																					
1934	-0,012																					
1935	0,011																					
1936	0,06																					
1937	0,047																					
1938	0,061																					
1939	0,065																					
1940	0,053																					
1941	0,02																					
1942	-0,008																					
1943	-0,025																					
1944	-0,002																					
1945	0,037																					
1946	0,033																					
1947	0,063																					
1948	0,139																					
1949	0,097																					
1950	0,087																					
1951	0,015																					
1952	0,021																					
1953	0,011																					
1954	0,026																					
1955	0,065																					
1956	0,065																					
1957	0,121																					
1958	0,163																					
1959	0,142																					
1960	0,161																					
1961	0,137																					
1962	0,07																					
1963	0,036																					
1964	0,016																					
1965	0,005																					
1966	0,012																					
1967	0,02																					
1968	0,055																					
1969	0,072																					
1970	0,065																					
1971	0,076																					
1972	0,045																					
1973	0,035																					
1974	0,016																					
1975	0,019																					
1976	0,028																					
1977	0,063																					
1978	0,087																					
1979	0,14																					
1980	0,155																					
1981	0,153																					
1982	0,091																					
1983	0,094																					
1984	0,018																					
1985	-0,01																					
1986	-0,008																					
1987	0,007																					
1988	0,061																					
1989	0,149																					
1990	0,14																					
1991	0,126																					
1992	0,095																					
1993	0,04																					
1994	0,011																					
1995	-0,004																					
1996	-0,021																					
1997	0,006																					
1998	0,062																					
1999	0,097																					
2000	0.134/																					
																						
RADSOLCRW(T)	Solar	forcing	of	Crowley	-2003	cited	in	Jones	and	Mann	-2004	[W	per	m^2]								
*	Not	used	in	the	standard	ACC2	inversion															
*	The	original	data	that	can	be	obtained	from	http://www.cru.uea.ac.uk/cru/data/paleo/jonesmann04/													
*	are	not	adjusted	to	produce	Figure	7	in	Jones	and	Mann	(2004).										
*	The	original	data	is	the	anomalies	of	solar	radiation	(Lean	et	al.,	1995;	Lean,	2000)	from	the	mean				
*	between	1611	and	1998	(1365.6W/m2).																	
*	The	data	of	Lean	can	be	obtained	from	ftp:													
*	//ftp.ncdc.noaa.gov/pub/data/paleo/climate_forcing/solar_variability/lean2000_irradiance.txt																					
*	The	original	data	needs	to	be	multiplied	by	0,25	and	then	by	0,7	to	be	used	as	radiative	forcing,			
*	according	to	Jones	and	Mann	-2004	p.25	and	26).													
*	The	first	adjustment	is	due	to	the	fact	that	only	the	quarter	of	the	Earth	surface	is	exposed	to	the	Sun	
*	by	assuming	a	perfect	sphere.																	
*	The	second	adjustment	is	due	to	planetary	albedo.	That	is,	30%	of	the	incoming	solar	radiation						
*	reflected	back	to	the	space	at	the	top	of	the	atmosphere.											
/1750	-0,059																					
1751	-0,07																					
1752	-0,07																					
1753	-0,07																					
1754	-0,07																					
1755	-0,067																					
1756	-0,053																					
1757	-0,035																					
1758	-0,025																					
1759	-0,021																					
1760	-0,011																					
1761	-0,007																					
1762	-0,014																					
1763	-0,017																					
1764	-0,028																					
1765	-0,038																					
1766	-0,028																					
1767	0																					
1768	0,024																					
1769	0,038																					
1770	0,039																					
1771	0,035																					
1772	0,021																					
1773	0,007																					
1774	0																					
1775	-0,004																					
1776	0,007																					
1777	0,028																					
1778	0,045																					
1779	0,039																					
1780	0,035																					
1781	0,025																					
1782	0																					
1783	-0,021																					
1784	-0,035																					
1785	-0,018																					
1786	0,01																					
1787	0,014																					
1788	0,007																					
1789	0																					
1790	-0,017																					
1791	-0,028																					
1792	-0,031																					
1793	-0,045																					
1794	-0,066																					
1795	-0,08																					
1796	-0,091																					
1797	-0,101																					
1798	-0,105																					
1799	-0,102																					
1800	-0,081																					
1801	-0,073																					
1802	-0,094																					
1803	-0,108																					
1804	-0,115																					
1805	-0,126																					
1806	-0,14																					
1807	-0,15																					
1808	-0,157																					
1809	-0,161																					
1810	-0,161																					
1811	-0,154																					
1812	-0,14																					
1813	-0,13																					
1814	-0,123																					
1815	-0,112																					
1816	-0,108																					
1817	-0,115																					
1818	-0,119																					
1819	-0,122																					
1820	-0,123																					
1821	-0,112																					
1822	-0,102																					
1823	-0,095																					
1824	-0,084																					
1825	-0,07																					
1826	-0,053																					
1827	-0,039																					
1828	-0,032																					
1829	-0,025																					
1830	-0,031																					
1831	-0,045																					
1832	-0,052																					
1833	-0,053																					
1834	-0,029																					
1835	0,017																					
1836	0,049																					
1837	0,042																					
1838	0,025																					
1839	0,014																					
1840	-0,003																					
1841	-0,017																					
1842	-0,024																					
1843	-0,025																					
1844	-0,014																					
1845	0																					
1846	0,014																					
1847	0,035																					
1848	0,049																					
1849	0,035																					
1850	0,021																					
1851	0,011																					
1852	-0,01																					
1853	-0,028																					
1854	-0,038																					
1855	-0,039																					
1856	-0,028																					
1857	-0,007																					
1858	0,021																					
1859	0,038																					
1860	0,035																					
1861	0,018																					
1862	-0,003																					
1863	-0,021																					
1864	-0,035																					
1865	-0,045																					
1866	-0,052																					
1867	-0,046																					
1868	-0,018																					
1869	0,014																					
1870	0,025																					
1871	0,018																					
1872	0,004																					
1873	-0,017																					
1874	-0,042																					
1875	-0,059																					
1876	-0,063																					
1877	-0,063																					
1878	-0,06																					
1879	-0,046																					
1880	-0,025																					
1881	-0,011																					
1882	-0,007																					
1883	-0,01																					
1884	-0,028																					
1885	-0,056																					
1886	-0,077																					
1887	-0,087																					
1888	-0,091																					
1889	-0,088																					
1890	-0,067																					
1891	-0,039																					
1892	-0,018																					
1893	0																					
1894	0																					
1895	-0,021																					
1896	-0,045																					
1897	-0,059																					
1898	-0,066																					
1899	-0,073																					
1900	-0,08																					
1901	-0,077																					
1902	-0,056																					
1903	-0,022																					
1904	-0,01																					
1905	-0,007																					
1906	-0,003																					
1907	-0,014																					
1908	-0,021																					
1909	-0,038																					
1910	-0,056																					
1911	-0,063																					
1912	-0,06																					
1913	-0,049																					
1914	-0,022																					
1915	0,014																					
1916	0,038																					
1917	0,046																					
1918	0,028																					
1919	0,004																					
1920	-0,01																					
1921	-0,021																					
1922	-0,025																					
1923	-0,018																					
1924	0,003																					
1925	0,028																					
1926	0,049																					
1927	0,056																					
1928	0,046																					
1929	0,042																					
1930	0,039																					
1931	0,028																					
1932	0,014																					
1933	0,017																					
1934	0,042																					
1935	0,083																					
1936	0,105																					
1937	0,095																					
1938	0,091																					
1939	0,088																					
1940	0,084																					
1941	0,081																					
1942	0,07																					
1943	0,07																					
1944	0,094																					
1945	0,119																					
1946	0,143																					
1947	0,168																					
1948	0,168																					
1949	0,147																					
1950	0,116																					
1951	0,098																					
1952	0,088																					
1953	0,08																					
1954	0,091																					
1955	0,132																					
1956	0,192																					
1957	0,217																					
1958	0,2																					
1959	0,175																					
1960	0,144																					
1961	0,105																					
1962	0,088																					
1963	0,084																					
1964	0,087																					
1965	0,105																					
1966	0,136																					
1967	0,157																					
1968	0,168																					
1969	0,175																					
1970	0,155																					
1971	0,133																					
1972	0,116																					
1973	0,091																					
1974	0,074																					
1975	0,073																					
1976	0,098																					
1977	0,139																					
1978	0,192																					
1979	0,22																					
1980	0,224																					
1981	0,197																					
1982	0,161																					
1983	0,13																					
1984	0,095																					
1985	0,084																					
1986	0,091																					
1987	0,118																					
1988	0,177																					
1989	0,21																					
1990	0,196																					
1991	0,179																					
1992	0,151																					
1993	0,119																					
1994	0,098																					
1995	0,084																					
1996	0,084																					
1997	0,115																					
1998	0,16																					
1999	0,199																					
2000	0.214/																					
																						
RADSOLBRT(T)	Solar	forcing	of	Bertrand	et	al.	-2002	cited	in	Jones	and	Mann	-2004	[W	per	m^2]						
*	Not	used	in	the	standard	ACC2	inversion															
*	This	forcing	is	equivalent	to	the	TSI_L	(not	TSI_R)	in	Bertrand	et	al.	(2001).								
*	Refer	to	the	comment	for	important	correction	to	the	original	data	above.										
*	The	data	of	Bertrand	et	al.	are	also	based	on	Lean	et	al.	-1995	and	Lean	-2000	as	those	of	Crowley	(2003),
*	but	the	calibration	methods	are	different.																
/1750	0,12																					
1751	0,076																					
1752	0,061																					
1753	0,04																					
1754	0,014																					
1755	0																					
1756	-0,005																					
1757	0,01																					
1758	0,025																					
1759	0,038																					
1760	0,027																					
1761	0,045																					
1762	0,031																					
1763	0,018																					
1764	0,014																					
1765	-0,005																					
1766	-0,003																					
1767	0,046																					
1768	0,093																					
1769	0,13																					
1770	0,137																					
1771	0,124																					
1772	0,109																					
1773	0,074																					
1774	0,066																					
1775	0,039																					
1776	0,052																					
1777	0,082																					
1778	0,154																					
1779	0,148																					
1780	0,105																					
1781	0,128																					
1782	0,077																					
1783	0,062																					
1784	0,042																					
1785	0,064																					
1786	0,142																					
1787	0,186																					
1788	0,179																					
1789	0,174																					
1790	0,153																					
1791	0,116																					
1792	0,108																					
1793	0,075																					
1794	0,066																					
1795	0,032																					
1796	0,014																					
1797	-0,011																					
1798	-0,033																					
1799	-0,048																					
1800	-0,052																					
1801	-0,011																					
1802	-0,045																					
1803	-0,093																					
1804	-0,1																					
1805	-0,107																					
1806	-0,14																					
1807	-0,156																					
1808	-0,163																					
1809	-0,171																					
1810	-0,176																					
1811	-0,177																					
1812	-0,172																					
1813	-0,168																					
1814	-0,166																					
1815	-0,158																					
1816	-0,13																					
1817	-0,13																					
1818	-0,133																					
1819	-0,131																					
1820	-0,138																					
1821	-0,138																					
1822	-0,132																					
1823	-0,126																					
1824	-0,11																					
1825	-0,087																					
1826	-0,057																					
1827	-0,025																					
1828	0,005																					
1829	0,022																					
1830	0,044																					
1831	0,028																					
1832	0,021																					
1833	0,015																					
1834	0,036																					
1835	0,097																					
1836	0,179																					
1837	0,198																					
1838	0,166																					
1839	0,155																					
1840	0,135																					
1841	0,105																					
1842	0,09																					
1843	0,071																					
1844	0,068																					
1845	0,084																					
1846	0,092																					
1847	0,111																					
1848	0,142																					
1849	0,137																					
1850	0,091																					
1851	0,093																					
1852	0,08																					
1853	0,058																					
1854	0,029																					
1855	0,011																					
1856	0,011																					
1857	0,034																					
1858	0,073																					
1859	0,126																					
1860	0,138																					
1861	0,118																					
1862	0,089																					
1863	0,078																					
1864	0,07																					
1865	0,05																					
1866	0,039																					
1867	0,028																					
1868	0,058																					
1869	0,103																					
1870	0,153																					
1871	0,138																					
1872	0,125																					
1873	0,081																					
1874	0,05																					
1875	0,008																					
1876	0																					
1877	-0,004																					
1878	-0,025																					
1879	-0,026																					
1880	-0,005																					
1881	0,026																					
1882	0,008																					
1883	-0,014																					
1884	0,001																					
1885	-0,006																					
1886	-0,027																					
1887	-0,033																					
1888	-0,036																					
1889	-0,029																					
1890	-0,023																					
1891	0,017																					
1892	0,055																					
1893	0,058																					
1894	0,064																					
1895	0,061																					
1896	0,049																					
1897	0,008																					
1898	0,016																					
1899	0,004																					
1900	-0,007																					
1901	-0,026																					
1902	-0,033																					
1903	-0,009																					
1904	0,017																					
1905	-0,015																					
1906	0,009																					
1907	-0,005																					
1908	0,005																					
1909	-0,001																					
1910	-0,015																					
1911	-0,018																					
1912	-0,009																					
1913	0,004																					
1914	0,019																					
1915	0,078																					
1916	0,111																					
1917	0,152																					
1918	0,147																					
1919	0,108																					
1920	0,089																					
1921	0,074																					
1922	0,056																					
1923	0,054																					
1924	0,053																					
1925	0,066																					
1926	0,07																					
1927	0,1																					
1928	0,083																					
1929	0,066																					
1930	0,076																					
1931	0,069																					
1932	0,064																					
1933	0,064																					
1934	0,087																					
1935	0,123																					
1936	0,196																					
1937	0,194																					
1938	0,198																					
1939	0,197																					
1940	0,209																					
1941	0,203																					
1942	0,188																					
1943	0,167																					
1944	0,175																					
1945	0,212																					
1946	0,225																					
1947	0,29																					
1948	0,331																					
1949	0,308																					
1950	0,28																					
1951	0,254																					
1952	0,242																					
1953	0,227																					
1954	0,224																					
1955	0,267																					
1956	0,362																					
1957	0,419																					
1958	0,399																					
1959	0,345																					
1960	0,354																					
1961	0,303																					
1962	0,267																					
1963	0,247																					
1964	0,216																					
1965	0,209																					
1966	0,233																					
1967	0,249																					
1968	0,261																					
1969	0,261																					
1970	0,234																					
1971	0,199																					
1972	0,216																					
1973	0,185																					
1974	0,19																					
1975	0,17																					
1976	0,172																					
1977	0,218																					
1978	0,324																					
1979	0,432																					
1980	0,44																					
1981	0,403																					
1982	0,346																					
1983	0,326																					
1984	0,277																					
1985	0,252																					
1986	0,245																					
1987	0,281																					
1988	0,388																					
1989	0,455																					
1990	0,449																					
1991	0,42																					
1992	0,368																					
1993	0,315																					
1994	0,271																					
1995	0,254																					
1996	0,242																					
1997	0,259																					
1998	0,317																					
1999	0,356																					
2000	0.391/																					
																						
RADMISPRI(T)	Prior	estimates	of	missing	forcing	[W	per	m^2]														
/1750	0																					
1751	0																					
1752	0																					
1753	0																					
1754	0																					
1755	0																					
1756	0																					
1757	0																					
1758	0																					
1759	0																					
1760	0																					
1761	0																					
1762	0																					
1763	0																					
1764	0																					
1765	0																					
1766	0																					
1767	0																					
1768	0																					
1769	0																					
1770	0																					
1771	0																					
1772	0																					
1773	0																					
1774	0																					
1775	0																					
1776	0																					
1777	0																					
1778	0																					
1779	0																					
1780	0																					
1781	0																					
1782	0																					
1783	0																					
1784	0																					
1785	0																					
1786	0																					
1787	0																					
1788	0																					
1789	0																					
1790	0																					
1791	0																					
1792	0																					
1793	0																					
1794	0																					
1795	0																					
1796	0																					
1797	0																					
1798	0																					
1799	0																					
1800	0																					
1801	0																					
1802	0																					
1803	0																					
1804	0																					
1805	0																					
1806	0																					
1807	0																					
1808	0																					
1809	0																					
1810	0																					
1811	0																					
1812	0																					
1813	0																					
1814	0																					
1815	0																					
1816	0																					
1817	0																					
1818	0																					
1819	0																					
1820	0																					
1821	0																					
1822	0																					
1823	0																					
1824	0																					
1825	0																					
1826	0																					
1827	0																					
1828	0																					
1829	0																					
1830	0																					
1831	0																					
1832	0																					
1833	0																					
1834	0																					
1835	0																					
1836	0																					
1837	0																					
1838	0																					
1839	0																					
1840	0																					
1841	0																					
1842	0																					
1843	0																					
1844	0																					
1845	0																					
1846	0																					
1847	0																					
1848	0																					
1849	0																					
1850	0																					
1851	0																					
1852	0																					
1853	0																					
1854	0																					
1855	0																					
1856	0																					
1857	0																					
1858	0																					
1859	0																					
1860	0																					
1861	0																					
1862	0																					
1863	0																					
1864	0																					
1865	0																					
1866	0																					
1867	0																					
1868	0																					
1869	0																					
1870	0																					
1871	0																					
1872	0																					
1873	0																					
1874	0																					
1875	0																					
1876	0																					
1877	0																					
1878	0																					
1879	0																					
1880	0																					
1881	0																					
1882	0																					
1883	0																					
1884	0																					
1885	0																					
1886	0																					
1887	0																					
1888	0																					
1889	0																					
1890	0																					
1891	0																					
1892	0																					
1893	0																					
1894	0																					
1895	0																					
1896	0																					
1897	0																					
1898	0																					
1899	0																					
1900	0																					
1901	0																					
1902	0																					
1903	0																					
1904	0																					
1905	0																					
1906	0																					
1907	0																					
1908	0																					
1909	0																					
1910	0																					
1911	0																					
1912	0																					
1913	0																					
1914	0																					
1915	0																					
1916	0																					
1917	0																					
1918	0																					
1919	0																					
1920	0																					
1921	0																					
1922	0																					
1923	0																					
1924	0																					
1925	0																					
1926	0																					
1927	0																					
1928	0																					
1929	0																					
1930	0																					
1931	0																					
1932	0																					
1933	0																					
1934	0																					
1935	0																					
1936	0																					
1937	0																					
1938	0																					
1939	0																					
1940	0																					
1941	0																					
1942	0																					
1943	0																					
1944	0																					
1945	0																					
1946	0																					
1947	0																					
1948	0																					
1949	0																					
1950	0																					
1951	0																					
1952	0																					
1953	0																					
1954	0																					
1955	0																					
1956	0																					
1957	0																					
1958	0																					
1959	0																					
1960	0																					
1961	0																					
1962	0																					
1963	0																					
1964	0																					
1965	0																					
1966	0																					
1967	0																					
1968	0																					
1969	0																					
1970	0																					
1971	0																					
1972	0																					
1973	0																					
1974	0																					
1975	0																					
1976	0																					
1977	0																					
1978	0																					
1979	0																					
1980	0																					
1981	0																					
1982	0																					
1983	0																					
1984	0																					
1985	0																					
1986	0																					
1987	0																					
1988	0																					
1989	0																					
1990	0																					
1991	0																					
1992	0																					
1993	0																					
1994	0																					
1995	0																					
1996	0																					
1997	0																					
1998	0																					
1999	0																					
2000	0/																					
																						
																						
T2MRCN(T)	Data	for	surface	air	temperature	change	(annually	resolved)	(Jones	et	al.	1998)	[degree	in	C]							
*	Multi-proxy	temperature	reconstruction																			
*	ftp://ftp.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/jones1998/jonesdata.txt																					
*	The	Northern	and	Southern	Hemisphere	reconstructions	are	averaged	following	an	email	communication										
*	with	Jones	(March.	14,	2006).																	
*	Note	that	the	Southern	Hemisphere	reconstruction	is	more	uncertain	than	the	Northern	Hemisphere	reconstruction								
*	due	to	the	poor	proxy	coverage	in	the	Southern	Hemisphere	(in	particular,	the	lack	in	proxies	in	tropics				
*	in	the	Southern	Hemisphere).																		
/1750	-0,571																					
1751	-0,478																					
1752	-0,428																					
1753	-0,203																					
1754	-0,4																					
1755	-0,381																					
1756	-0,469																					
1757	-0,195																					
1758	-0,166																					
1759	-0,2																					
1760	-0,136																					
1761	-0,166																					
1762	-0,129																					
1763	-0,181																					
1764	-0,264																					
1765	-0,14																					
1766	-0,099																					
1767	-0,146																					
1768	-0,153																					
1769	-0,403																					
1770	-0,266																					
1771	-0,154																					
1772	0,011																					
1773	-0,025																					
1774	-0,13																					
1775	-0,039																					
1776	-0,054																					
1777	-0,413																					
1778	-0,328																					
1779	-0,278																					
1780	-0,361																					
1781	-0,482																					
1782	-0,397																					
1783	-0,28																					
1784	-0,6																					
1785	-0,452																					
1786	-0,089																					
1787	-0,486																					
1788	-0,281																					
1789	-0,075																					
1790	-0,175																					
1791	-0,05																					
1792	-0,074																					
1793	-0,192																					
1794	-0,186																					
1795	-0,274																					
1796	-0,255																					
1797	-0,406																					
1798	0,057																					
1799	-0,118																					
1800	-0,25																					
1801	-0,292																					
1802	-0,338																					
1803	-0,208																					
1804	-0,301																					
1805	-0,328																					
1806	-0,339																					
1807	-0,035																					
1808	-0,247																					
1809	-0,375																					
1810	-0,445																					
1811	-0,351																					
1812	-0,382																					
1813	-0,615																					
1814	-0,524																					
1815	-0,446																					
1816	-0,659																					
1817	-0,444																					
1818	-0,353																					
1819	-0,204																					
1820	-0,358																					
1821	-0,51																					
1822	-0,228																					
1823	-0,296																					
1824	-0,268																					
1825	-0,162																					
1826	-0,183																					
1827	-0,489																					
1828	-0,203																					
1829	-0,51																					
1830	-0,198																					
1831	-0,264																					
1832	-0,417																					
1833	-0,311																					
1834	-0,516																					
1835	-0,776																					
1836	-0,786																					
1837	-0,599																					
1838	-0,616																					
1839	-0,372																					
1840	-0,301																					
1841	-0,327																					
1842	-0,206																					
1843	-0,465																					
1844	-0,703																					
1845	-0,62																					
1846	-0,122																					
1847	-0,099																					
1848	-0,584																					
1849	-0,818																					
1850	-0,481																					
1851	0,083																					
1852	0,083																					
1853	-0,275																					
1854	-0,351																					
1855	-0,459																					
1856	-0,503																					
1857	-0,488																					
1858	-0,268																					
1859	-0,15																					
1860	-0,34																					
1861	-0,282																					
1862	-0,334																					
1863	-0,169																					
1864	-0,251																					
1865	-0,102																					
1866	-0,481																					
1867	-0,283																					
1868	-0,304																					
1869	-0,343																					
1870	-0,349																					
1871	-0,151																					
1872	-0,355																					
1873	-0,233																					
1874	-0,312																					
1875	-0,223																					
1876	-0,269																					
1877	0,001																					
1878	-0,149																					
1879	-0,576																					
1880	-0,541																					
1881	-0,328																					
1882	-0,455																					
1883	-0,32																					
1884	-0,444																					
1885	-0,228																					
1886	-0,142																					
1887	-0,165																					
1888	-0,206																					
1889	-0,065																					
1890	-0,182																					
1891	-0,458																					
1892	-0,43																					
1893	-0,087																					
1894	-0,048																					
1895	-0,179																					
1896	-0,405																					
1897	-0,409																					
1898	-0,316																					
1899	-0,863																					
1900	-0,31																					
1901	-0,214																					
1902	-0,237																					
1903	-0,403																					
1904	-0,393																					
1905	-0,191																					
1906	-0,376																					
1907	-0,631																					
1908	-0,113																					
1909	-0,463																					
1910	-0,338																					
1911	-0,104																					
1912	-0,298																					
1913	-0,301																					
1914	-0,348																					
1915	-0,219																					
1916	-0,226																					
1917	-0,305																					
1918	-0,239																					
1919	0,176																					
1920	-0,083																					
1921	-0,194																					
1922	-0,206																					
1923	-0,213																					
1924	-0,281																					
1925	-0,165																					
1926	-0,141																					
1927	-0,188																					
1928	-0,15																					
1929	-0,227																					
1930	-0,052																					
1931	-0,136																					
1932	-0,216																					
1933	-0,149																					
1934	-0,119																					
1935	-0,125																					
1936	0,143																					
1937	-0,01																					
1938	-0,122																					
1939	0,024																					
1940	-0,117																					
1941	-0,128																					
1942	-0,045																					
1943	-0,05																					
1944	-0,003																					
1945	0,024																					
1946	-0,193																					
1947	-0,065																					
1948	-0,238																					
1949	-0,05																					
1950	-0,114																					
1951	-0,042																					
1952	-0,047																					
1953	0,131																					
1954	-0,219																					
1955	0,042																					
1956	0,025																					
1957	0,13																					
1958	-0,062																					
1959	0,024																					
1960	0,246																					
1961	0,106																					
1962	-0,259																					
1963	-0,115																					
1964	-0,246																					
1965	-0,088																					
1966	-0,218																					
1967	-0,031																					
1968	-0,142																					
1969	0,144																					
1970	-0,018																					
1971	0,044																					
1972	-0,068																					
1973	0,185																					
1974	0,123																					
1975	0,022																					
1976	0,103																					
1977	-0,122																					
1978	-0,146																					
1979	0,017																					
1980	-0,203																					
1981	-0,096																					
1982	-0,024																					
1983	0,245																					
1984	0,077																					
1985	-0,064																					
1986	-0,032																					
1987	-0,064																					
1988	0,23																					
1989	0,35																					
1990	0,179																					
1991	0.125/																					
																						
$ontext																						
T2MRCN(T)	Data	for	surface	air	temperature	change	(decadally	resolved)	(Mann	and	Jones	2003)	[degree	in	C]							
*	Multi-proxy	temperature	reconstruction																			
*	ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/mann2003b/mann2003b.txt																					
/1750	-0,262																					
1751	-0,246																					
1752	-0,23																					
1753	-0,218																					
1754	-0,214																					
1755	-0,218																					
1756	-0,229																					
1757	-0,247																					
1758	-0,268																					
1759	-0,29																					
1760	-0,308																					
1761	-0,32																					
1762	-0,322																					
1763	-0,312																					
1764	-0,29																					
1765	-0,258																					
1766	-0,221																					
1767	-0,186																					
1768	-0,16																					
1769	-0,146																					
1770	-0,145																					
1771	-0,156																					
1772	-0,171																					
1773	-0,186																					
1774	-0,195																					
1775	-0,196																					
1776	-0,191																					
1777	-0,184																					
1778	-0,182																					
1779	-0,189																					
1780	-0,206																					
1781	-0,231																					
1782	-0,256																					
1783	-0,276																					
1784	-0,282																					
1785	-0,274																					
1786	-0,254																					
1787	-0,229																					
1788	-0,208																					
1789	-0,2																					
1790	-0,208																					
1791	-0,232																					
1792	-0,265																					
1793	-0,298																					
1794	-0,32																					
1795	-0,325																					
1796	-0,311																					
1797	-0,283																					
1798	-0,249																					
1799	-0,219																					
1800	-0,2																					
1801	-0,196																					
1802	-0,206																					
1803	-0,224																					
1804	-0,242																					
1805	-0,253																					
1806	-0,255																					
1807	-0,248																					
1808	-0,237																					
1809	-0,23																					
1810	-0,232																					
1811	-0,245																					
1812	-0,269																					
1813	-0,297																					
1814	-0,322																					
1815	-0,338																					
1816	-0,341																					
1817	-0,33																					
1818	-0,312																					
1819	-0,292																					
1820	-0,276																					
1821	-0,269																					
1822	-0,272																					
1823	-0,28																					
1824	-0,289																					
1825	-0,293																					
1826	-0,287																					
1827	-0,271																					
1828	-0,249																					
1829	-0,227																					
1830	-0,212																					
1831	-0,21																					
1832	-0,224																					
1833	-0,253																					
1834	-0,293																					
1835	-0,336																					
1836	-0,375																					
1837	-0,404																					
1838	-0,419																					
1839	-0,419																					
1840	-0,408																					
1841	-0,39																					
1842	-0,369																					
1843	-0,35																					
1844	-0,335																					
1845	-0,325																					
1846	-0,318																					
1847	-0,314																					
1848	-0,31																					
1849	-0,306																					
1850	-0,303																					
1851	-0,299																					
1852	-0,296																					
1853	-0,292																					
1854	-0,287																					
1855	-0,279																					
1856	-0,265																					
1857	-0,246																					
1858	-0,222																					
1859	-0,196																					
1860	-0,176																					
1861	-0,165																					
1862	-0,167																					
1863	-0,184																					
1864	-0,213																					
1865	-0,245																					
1866	-0,273																					
1867	-0,288																					
1868	-0,284																					
1869	-0,262																					
1870	-0,227																					
1871	-0,188																					
1872	-0,157																					
1873	-0,144																					
1874	-0,154																					
1875	-0,185																					
1876	-0,232																					
1877	-0,282																					
1878	-0,324																					
1879	-0,347																					
1880	-0,349																					
1881	-0,331																					
1882	-0,301																					
1883	-0,268																					
1884	-0,242																					
1885	-0,231																					
1886	-0,234																					
1887	-0,248																					
1888	-0,266																					
1889	-0,28																					
1890	-0,285																					
1891	-0,28																					
1892	-0,269																					
1893	-0,258																					
1894	-0,255																					
1895	-0,265																					
1896	-0,289																					
1897	-0,322																					
1898	-0,357																					
1899	-0,387																					
1900	-0,403																					
1901	-0,404																					
1902	-0,392																					
1903	-0,372																					
1904	-0,351																					
1905	-0,339																					
1906	-0,337																					
1907	-0,348																					
1908	-0,366																					
1909	-0,385																					
1910	-0,397																					
1911	-0,396																					
1912	-0,378																					
1913	-0,345																					
1914	-0,303																					
1915	-0,256																					
1916	-0,215																					
1917	-0,184																					
1918	-0,167																					
1919	-0,166																					
1920	-0,177																					
1921	-0,198																					
1922	-0,222																					
1923	-0,246																					
1924	-0,266																					
1925	-0,28																					
1926	-0,289																					
1927	-0,292																					
1928	-0,292																					
1929	-0,289																					
1930	-0,281																					
1931	-0,267																					
1932	-0,248																					
1933	-0,224																					
1934	-0,195																					
1935	-0,165																					
1936	-0,139																					
1937	-0,119																					
1938	-0,109																					
1939	-0,111																					
1940	-0,123																					
1941	-0,143																					
1942	-0,167																					
1943	-0,191																					
1944	-0,211																					
1945	-0,227																					
1946	-0,237																					
1947	-0,243																					
1948	-0,245																					
1949	-0,243																					
1950	-0,237																					
1951	-0,226																					
1952	-0,211																					
1953	-0,192																					
1954	-0,171																					
1955	-0,151																					
1956	-0,137																					
1957	-0,132																					
1958	-0,137																					
1959	-0,15																					
1960	-0,168																					
1961	-0,185																					
1962	-0,196																					
1963	-0,195																					
1964	-0,18																					
1965	-0,155																					
1966	-0,122																					
1967	-0,089																					
1968	-0,062																					
1969	-0,045																					
1970	-0,041																					
1971	-0,046																					
1972	-0,056																					
1973	-0,066																					
1974	-0,071																					
1975	-0,066																					
1976	-0,053																					
1977	-0,033																					
1978	-0,009																					
1979	0,013																					
1980	0.032/																					
$offtext																						
																						
T2MINS(T)	Data	for	surface	air	temperature	change	(Jones	et	al.	2006)	[degree	in	C]									
*	Instrumental	temperature	records	(direct	station	measurements)																
*	http://www.cru.uea.ac.uk/cru/data/temperature/																					
/1856	-0,381																					
1857	-0,461																					
1858	-0,415																					
1859	-0,225																					
1860	-0,37																					
1861	-0,4																					
1862	-0,519																					
1863	-0,273																					
1864	-0,475																					
1865	-0,263																					
1866	-0,222																					
1867	-0,29																					
